Date,Week,Secs,Group,Plant_Species,PlantID,Treatment ,Replicate,LA
3/18/2020,10,3_4,2,Aristida stricta,Heatwave-2-4A,Heatwave,4A,2.15
3/18/2020,10,3_4,2,Aristida stricta,Heatwave-2-4B,Heatwave,4B,2.72
3/18/2020,10,3_4,3,Aristida stricta,Control-3-3A,Control,3A,1.49
3/18/2020,10,3_4,3,Aristida stricta,Control-3-3B,Control,3B,2.26
3/18/2020,10,3_4,3,Aristida stricta,Control-3-4A,Control,4A,3.14
3/18/2020,10,3_4,3,Aristida stricta,Control-3-4B,Control,4B,2.26
3/18/2020,10,3_4,3,Aristida stricta,Heatwave-3-3A,Heatwave,3A,1.11
3/18/2020,10,3_4,3,Aristida stricta,Heatwave-3-3B,Heatwave,3B,1.02
3/18/2020,10,3_4,3,Aristida stricta,Heatwave-3-4A,Heatwave,4A,0.9
3/18/2020,10,3_4,3,Aristida stricta,Heatwave-3-4B,Heatwave,4B,1.71
3/18/2020,10,3_4,4,Aristida stricta,Control-4-3A,Control,3A,2.25
3/18/2020,10,3_4,4,Aristida stricta,Control-4-3B,Control,3B,1.05
3/18/2020,10,3_4,4,Aristida stricta,Control-4-4A,Control,4A,0.9
3/18/2020,10,3_4,4,Aristida stricta,Control-4-4B,Control,4B,2.21
3/18/2020,10,3_4,4,Aristida stricta,Heatwave-4-3A,Heatwave,3A,1.57
3/18/2020,10,3_4,4,Aristida stricta,Heatwave-4-3B,Heatwave,3B,0.8
3/18/2020,10,3_4,4,Aristida stricta,Heatwave-4-4A,Heatwave,4A,0.6
3/18/2020,10,3_4,4,Aristida stricta,Heatwave-4-4B,Heatwave,4B,1.54
3/18/2020,10,3_4,5,Aristida stricta,Control-5-3A,Control,3A,3.28
3/18/2020,10,3_4,5,Aristida stricta,Control-5-3B,Control,3B,3.83
3/18/2020,10,3_4,5,Aristida stricta,Control-5-4A,Control,4A,3.34
3/18/2020,10,3_4,5,Aristida stricta,Control-5-4B,Control,4B,2.77
3/18/2020,10,3_4,5,Aristida stricta,Heatwave-5-3A,Heatwave,3A,1.3
3/18/2020,10,3_4,5,Aristida stricta,Heatwave-5-3B,Heatwave,3B,1.79
3/18/2020,10,3_4,5,Aristida stricta,Heatwave-5-4A,Heatwave,4A,2.93
3/18/2020,10,3_4,5,Aristida stricta,Heatwave-5-4B,Heatwave,4B,2.28
