PlantID,LA,Treatment,Plant_Species
Heatwave-5-4B,7.48,Heatwave,Schizachyrium scoparium
Heatwave-6-4A,11.86,Heatwave,Schizachyrium scoparium
Heatwave-6-4B,3.26,Heatwave,Schizachyrium scoparium
Heatwave-6-5A,0.37,Heatwave,Schizachyrium scoparium
Heatwave-6-5B,3.38,Heatwave,Schizachyrium scoparium
Control-1-7B,0.45,Control,Sorghastrum nutans
Control-1-8B,7.99,Control,Sorghastrum nutans
Control-2-7A,0.72,Control,Sorghastrum nutans
Control-2-7B,9.89,Control,Sorghastrum nutans
Control-2-8A,3.58,Control,Sorghastrum nutans
Control-3-8A,5.49,Control,Sorghastrum nutans
Control-4-7A,28.08,Control,Sorghastrum nutans
Control-4-8A,7.22,Control,Sorghastrum nutans
Control-5-7A,6.59,Control,Sorghastrum nutans
Control-5-7B,4.99,Control,Sorghastrum nutans
Control-5-8B,0.88,Control,Sorghastrum nutans
Control-6-7A,9.93,Control,Sorghastrum nutans
Control-6-7B,0.48,Control,Sorghastrum nutans
Control-6-8B,2.03,Control,Sorghastrum nutans
Heatwave-1-7A,2.67,Heatwave,Sorghastrum nutans
Heatwave-1-8A,2.21,Heatwave,Sorghastrum nutans
Heatwave-1-8B,0.54,Heatwave,Sorghastrum nutans
Heatwave-2-7A,6.16,Heatwave,Sorghastrum nutans
Heatwave-3-7B,4.49,Heatwave,Sorghastrum nutans
Heatwave-5-7A,10.31,Heatwave,Sorghastrum nutans
Heatwave-5-8A,8.33,Heatwave,Sorghastrum nutans
Heatwave-5-8B,2.63,Heatwave,Sorghastrum nutans
Heatwave-6-7A,1.31,Heatwave,Sorghastrum nutans
Heatwave-6-7B,6.41,Heatwave,Sorghastrum nutans
Heatwave-6-8A,2.91,Heatwave,Sorghastrum nutans
Heatwave-6-8B,1.8,Heatwave,Sorghastrum nutans
